system:index,dem_0,ir_0,ir_1,ir_2,.geo
167,80,2317.0,2253.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.57444804771025,26.68441059900618]}"
168,79,2429.0,2606.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5485765675276,26.685488577347126]}"
169,74,2479.0,1868.0,3011.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44077873343326,26.687914028614248]}"
170,74,2556.0,2039.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4485940764051,26.68845301778472]}"
171,76,2070.0,1944.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51273378769123,26.690069985296134]}"
172,74,1373.0,403.0,2967.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44455165762656,26.693842909489437]}"
173,81,2549.0,2231.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58280237985257,26.69438189865991]}"
174,81,2483.0,2743.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.69572937158609]}"
175,78,2184.0,2560.0,3048.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47823848078104,26.70084976870557]}"
176,85,2290.0,2196.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56151230761893,26.712977025041184]}"
177,77,2131.0,2334.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41787169368821,26.717288938404955]}"
178,77,2364.0,2290.0,3023.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39712061062505,26.72160085176873]}"
179,79,2114.0,2006.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4162547261768,26.722678830109675]}"
180,82,2233.0,2361.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53105941948728,26.72348731386538]}"
181,83,2059.0,2171.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43026844460907,26.72564327054727]}"
182,101,2484.0,1346.0,2998.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46099082732596,26.727799227229156]}"
183,80,2160.0,2238.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4275734987567,26.73076366766675]}"
184,84,2449.0,2203.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.736423053956702]}"
185,69,1141.0,454.0,2959.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.402779996915,26.738848505223825]}"
186,84,2100.0,2329.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42514804748959,26.73992648356477]}"
187,85,2186.0,1728.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43916176592185,26.741273956490947]}"
188,77,1968.0,2156.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41571573700632,26.743429913172836]}"
189,80,2569.0,2223.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5561224159142,26.74639435361043]}"
190,98,2377.0,1457.0,2997.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.748819804877552]}"
191,83,2324.0,1888.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40709191027878,26.755826664093686]}"
192,83,2426.0,2511.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.7574436316051]}"
193,81,2420.0,2359.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43377187421713,26.75798262077557]}"
194,88,2092.0,2090.0,3017.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46530274068972,26.758252115360808]}"
195,80,2286.0,2288.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52513053861209,26.758252115360808]}"
196,94,2536.0,1589.0,3005.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44913306557558,26.768492909599768]}"
197,80,2336.0,1972.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5154287335436,26.771457350037362]}"
198,81,2312.0,2405.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53240689241345,26.780350671350146]}"
199,82,2238.0,2334.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39739010521029,26.786818541395807]}"
200,85,2202.0,2153.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49252169379855,26.811073054067034]}"
201,76,2447.0,1441.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37097963585718,26.357783161700326]}"
202,78,2717.0,2915.0,3057.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3200451592476,26.39712937114476]}"
203,72,3035.0,1723.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3771780113176,26.39766836031523]}"
204,77,2616.0,2657.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13247692792345,26.416263486696504]}"
205,80,2500.0,1910.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35723541201014,26.424348324253582]}"
206,81,2634.0,2786.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.43297215098113]}"
207,79,2572.0,2127.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13948378713958,26.449950309850987]}"
