system:index,dem_0,.geo
131,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44268008250748,26.540765022749625]}"
132,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55236437869843,26.53753108772679]}"
133,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47286347605387,26.528098777243535]}"
134,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55317286245418,26.528098777243535]}"
135,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.55802376498843,26.528098777243535]}"
136,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47582791649148,26.526212315146886]}"
137,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46046672513302,26.525942820561653]}"
138,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4866076999009,26.517318993834103]}"
139,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47555842190621,26.51489354256698]}"
140,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39282358423884,26.511390112958914]}"
141,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42112051568859,26.489291556969576]}"
142,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1888161832153,26.473930365611132]}"
143,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13869019036139,26.469618452247353]}"
144,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22816239265973,26.466923506395]}"
145,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11551365603111,26.463689571372164]}"
146,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21576564173887,26.461803109275515]}"
147,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32437195958892,26.460186141764098]}"
148,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16132773552124,26.453718271718444]}"
149,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13949867411714,26.449945347525137]}"
150,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21630463090935,26.432967188655276]}"
151,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35725029898771,26.424343361927733]}"
152,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13249181490102,26.416258524370654]}"
153,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3769234037099,26.397932892574616]}"
154,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32006004622514,26.39712440881891]}"
155,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37099452283474,26.357778199374472]}"
156,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25106943240479,26.753935239671186]}"
157,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28206130970688,26.753935239671186]}"
158,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24298459484771,26.753396250500714]}"
159,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.332456797146,26.751779282989297]}"
160,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3286838729527,26.751509788404064]}"
161,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34700950474871,26.751509788404064]}"
162,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31197520866806,26.749892820892647]}"
163,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26131022664373,26.748006358795998]}"
164,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33003134587887,26.746658885869813]}"
165,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29715300648007,26.745850402114108]}"
166,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34108062387355,26.74369444543222]}"
167,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38231329541463,26.74369444543222]}"
168,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20983676086371,26.74207747792081]}"
169,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38662520877841,26.736687586216092]}"
170,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3173651003728,26.73614859704562]}"
171,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34754849391919,26.73129769451137]}"
172,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38985914380123,26.73129769451137]}"
173,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25079993781952,26.730489210755664]}"
174,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34727899933398,26.726446791977125]}"
175,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17129903517497,26.710007622277743]}"
176,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21630463090935,26.707582171010614]}"
177,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30254289818481,26.70704318184014]}"
178,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34108062387355,26.704078741402547]}"
179,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35590282606154,26.702461773891137]}"
180,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28179181512166,26.6984193551126]}"
181,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2691255696156,26.68844805545887]}"
182,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38285228458511,26.685753109606516]}"
183,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38770318711937,26.682519174583682]}"
184,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17884488356157,26.67416484244137]}"
185,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38285228458511,26.672547874929954]}"
186,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3882421762898,26.672547874929954]}"
187,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26211871039942,26.6631155644467]}"
188,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38716419794889,26.658534156497694]}"
189,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29499704979821,26.65718668357151]}"
190,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27855788009884,26.65071881352585]}"
191,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23786419772819,26.648293362258727]}"
192,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18342629151056,26.641555997627833]}"
193,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30065643608816,26.637513578849294]}"
194,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33784668885073,26.631584697974105]}"
195,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32733640002652,26.61622350661566]}"
196,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24594903528526,26.60409625028005]}"
197,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29418856604252,26.602748777353867]}"
198,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31493964910567,26.57930274843835]}"
199,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17938387273205,26.577146791756462]}"
200,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35617232064675,26.560977116642313]}"
