system:index,dem_0,ir_0,ir_1,ir_2,.geo
211,79,2421.0,2420.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11549876905359,26.463694533698018]}"
212,79,2462.0,2541.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22814750568217,26.466928468720845]}"
213,77,2532.0,2325.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13867530338386,26.469623414573206]}"
214,79,2422.0,2460.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18880129623774,26.473935327936978]}"
215,79,2544.0,2371.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34968956362354,26.484984605931647]}"
216,80,2506.0,2496.0,3052.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25698342630241,26.491182981392072]}"
217,78,2558.0,2513.0,3054.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32489606178184,26.491182981392072]}"
218,78,2376.0,1941.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36532024956722,26.49792034602297]}"
219,79,2421.0,2509.0,3061.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2418917295292,26.507352656506225]}"
220,78,2616.0,1222.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30171952745157,26.513820526551886]}"
221,84,2639.0,2642.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.22329660314793,26.524330815376082]}"
