system:index,ir_0,ir_1,ir_2,.geo
115,2397.0,2534.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.62619976859524]}"
116,2631.0,2465.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46476375151926,26.62808623069189]}"
117,2641.0,2698.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41221230739826,26.62862521986236]}"
118,2458.0,2187.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46018234357024,26.634015111567077]}"
119,2267.0,2130.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58414985277874,26.634823595322786]}"
120,2343.0,2569.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40924786696067,26.635362584493258]}"
121,2358.0,1622.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43161591753524,26.64937630292552]}"
122,2817.0,2736.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41463775866538,26.649645797510757]}"
123,2396.0,2399.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39685111603981,26.65395771087453]}"
124,2652.0,2591.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40089353481835,26.65853911882354]}"
125,2286.0,2429.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56636321015317,26.66258153760208]}"
126,2526.0,2556.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40547494276737,26.662851032187312]}"
127,2264.0,2256.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.598163571211,26.669049407647737]}"
128,2317.0,2253.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.57444804771025,26.68441059900618]}"
129,2429.0,2606.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5485765675276,26.685488577347126]}"
130,2479.0,1868.0,3011.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44077873343326,26.687914028614248]}"
131,2556.0,2039.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4485940764051,26.68845301778472]}"
132,2070.0,1944.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51273378769123,26.690069985296134]}"
133,1373.0,403.0,2967.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44455165762656,26.693842909489437]}"
134,2549.0,2231.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58280237985257,26.69438189865991]}"
135,2483.0,2743.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.69572937158609]}"
136,2184.0,2560.0,3048.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47823848078104,26.70084976870557]}"
137,2290.0,2196.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56151230761893,26.712977025041184]}"
138,2131.0,2334.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41787169368821,26.717288938404955]}"
139,2364.0,2290.0,3023.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39712061062505,26.72160085176873]}"
140,2114.0,2006.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4162547261768,26.722678830109675]}"
141,2233.0,2361.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53105941948728,26.72348731386538]}"
142,2059.0,2171.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43026844460907,26.72564327054727]}"
143,2484.0,1346.0,2998.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46099082732596,26.727799227229156]}"
144,2160.0,2238.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4275734987567,26.73076366766675]}"
145,2449.0,2203.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.736423053956702]}"
146,1141.0,454.0,2959.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.402779996915,26.738848505223825]}"
147,2100.0,2329.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42514804748959,26.73992648356477]}"
148,2186.0,1728.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43916176592185,26.741273956490947]}"
149,1968.0,2156.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41571573700632,26.743429913172836]}"
150,2569.0,2223.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5561224159142,26.74639435361043]}"
151,2377.0,1457.0,2997.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.748819804877552]}"
152,2324.0,1888.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40709191027878,26.755826664093686]}"
153,2426.0,2511.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.7574436316051]}"
154,2420.0,2359.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43377187421713,26.75798262077557]}"
155,2092.0,2090.0,3017.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46530274068972,26.758252115360808]}"
156,2286.0,2288.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52513053861209,26.758252115360808]}"
157,2536.0,1589.0,3005.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44913306557558,26.768492909599768]}"
158,2336.0,1972.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5154287335436,26.771457350037362]}"
159,2312.0,2405.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53240689241345,26.780350671350146]}"
